Критерий / Особенность	                        Pytest + Playwright	                                                                Selenium (чаще с Pytest)
Язык	                                        Python (через Playwright for Python)	                                            Python, Java, C#, JavaScript и др.
Поддержка браузеров	                            Chromium, Firefox, WebKit	                                                        Все (вкл. Edge, Safari — через WebDriver)
Кросс-браузерность из коробки	                Да	                                                                                Настраивается вручную
Скорость тестов	                                Быстро (через DevTools API)	                                                        Зависит от драйверов
Параллельный запуск	Встроен	Через               Pytest-xdist / Grid
Ожидания/стабильность	                        Автоматические, умные	                                                            Вручную через ожидания
Работа с iframes, shadow DOM, вкладками	        Просто	                                                                            Часто сложно
Отладка и диагностика	                        Trace Viewer, скриншоты, видео	                                                    Скриншоты, ручные логи
Отчёты	                                        Allure  (API-статусы, моки, логи)	                                                Allure (всё зависит от ручной настройки)
Документация и сообщество	                    Растёт	                                                                            Зрелое и обширное
Интеграция в CI/CD	                            Просто  (в том числе API)	                                                        Стандартно
Поддержка мобильной эмуляции	                Есть	                                                                            Через Appium
Работа с API-запросами	                        Встроено  (через request и route)	                                                Нужно использовать внешние библиотеки 
Моки/перехват запросов	                        Встроено (через page.route, request)	                                            Только через прокси или внешние инструменты
Локальные фейковые серверы	                    Легко мокается 	                                                                    Требует сторонних решений



python -m pytest tests/ -v --alluredir=./allure-results --browser=chromium --headless; allure serve ./allure-results
